Bug No,Summary,Platform,Status,Priority,Due Date,Resolved,Resolution,Created,Labels,Description
25,"From advance filter select material and include,
 it shows a blank red alert message. ",IOS-app,To Do,1,15/04/2021,,,23/04/21 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
26,The Issuer name is not shown in the list ,Android-app,Done,2,15/04/2021,15/04/2021,Done,20/04/21 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
27,Creating Jobcard is showing the error message ,Android-app,Done,2,15/04/2021,15/04/2021,Done,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
28,"While inserting same material in the
 Material tab, it shows blank red alert ",IOS-app,In Progress,1,15/04/2021,18/04/2021,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
29,"Created new user and on click view and click on edit 
option, the screen loads continuously.",IOS-app,In Progress,1,17/04/2021,20/04/2021,,13/04/21 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
30,Edit screen loads continuously ,IOS-app,In Progress,1,17/04/2021,20/04/2021,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
31,"user dropdown shows ""[Object][Object]"".",IOS-app,To Do,3,17/04/2021,20/04/2021,,13/04/21 15:40,backend,This is the description of my issues. Instructions to use this csv will come here.
32," In the Overview, selected show entries 
count 20 or 30, on rest in the advance filter shows
 10 records.",Android-app,Done,3,17/04/2021,16/04/2021,Done,13/04/21 15:40,UI,This is the description of my issues. Instructions to use this csv will come here.
33,"For the first time login into an application after clearing all the 
cache and hard reload, the back buttonnot visible",Android-app,Done,3,18/04/2021,16/04/2021,Done,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
34,"edit user not working, throws blank error",Android-app,To Do,3,18/04/2021,,,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
35,edit screen loads continuously ,Android-app,To Do,3,18/04/2021,,,13/04/21 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
36,serving old format image,IOS-app,To Do,3,18/04/2021,,,13/04/21 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
37,New UI is not shown,Android-app,To Do,1,18/04/2021,,,6/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
38,Login icon broken on homepage,Android-app,In Progress,2,18/04/2021,,,16/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
39,Login is taking more than 1 minute,IOS-app,To Do,1,18/04/2021,,,11/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
40,Confirmation popup doesnot closes on cancel,Android-app,To Do,1,18/04/2021,,,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
41, Android app  error,Android-app,Done,2,18/04/2021,18/04/2021,Done,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
42,Andriod app is stuck on view page,IOS-app,Done,3,18/04/2021,18/04/2021,Done,15/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
43,Username check fails,IOS-app,Done,3,18/04/2021,18/04/2021,Done,12/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
44,"passwod is non mandatory field, it is a mandatory field",IOS-app,Done,1,18/04/2021,21/04/2021,Done,20/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
45,reset button doesnot works,Android-app,Done,2,18/04/2021,18/04/2021,Done,23/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
46,passsord allows SQL injection,IOS-app,Done,1,19/04/2021,18/04/2021,Done,22/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
47,UI is not dynamic,Android-app,In Progress,1,19/04/2021,,,20/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
48,Password takes more than 99+ characcters,IOS-app,To Do,3,19/04/2021,,,23/04/21 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
49,Unable to login,Android-app,To Do,3,19/04/2021,,,23/04/21 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
50,Login validation not working,Android-app,Done,2,19/04/2021,22/04/2021,Done,20/04/21 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
51,unable to signup,IOS-app,To Do,1,19/04/2021,22/04/2021,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
52,This is a sub task,Android-app,To Do,3,19/04/2021,22/04/2021,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
53,Cancel button not working,IOS-app,In Progress,2,19/04/2021,22/04/2021,,13/04/21 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
54,Admin cannot edit product in the code,IOS-app,In Progress,1,20/04/2021,,,13/04/21 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
55,pannel loooks cut from the right,IOS-app,To Do,1,21/04/2021,,,13/04/21 15:40,backend,This is the description of my issues. Instructions to use this csv will come here.
56,Alignment issue in overview page,IOS-app,Done,1,21/04/2021,20/04/2021,Done,13/04/21 15:40,UI,This is the description of my issues. Instructions to use this csv will come here.
57,Login icon broken on homepage,IOS-app,Done,1,21/04/2021,20/04/2021,Done,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
58,API issue in create user,IOS-app,To Do,1,21/04/2021,,,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
59,unable to add new item to cart,Android-app,To Do,1,21/04/2021,,,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
60,User role issue,Android-app,To Do,3,22/04/2021,,,13/04/21 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
61,Redirection to wrong page after login,Android-app,To Do,3,22/04/2021,,,6/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
62,Modals cannot be closed,Android-app,In Progress,3,22/04/2021,,,16/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
63,Size of all the modals should be same,Android-app,To Do,3,22/04/2021,,,11/5/2021 16:57,WI,This is the description of my issues. Instructions to use this csv will come here.
64,Button size should be consistent,Android-app,To Do,2,22/04/2021,,,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
65,Payment Issue,Android-app,Done,2,22/04/2021,22/04/2021,Done,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
66,backbutton icon broken,IOS-app,Done,2,22/04/2021,22/04/2021,Done,15/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
67,share as PDF issue feature not working,Android-app,Done,2,23/04/2021,22/04/2021,Done,12/5/2021 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
68,Login banner is covering the login buttton,Android-app,Done,3,23/04/2021,22/04/2021,Done,20/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
69,User Module issue,IOS-app,Done,3,24/04/2021,22/04/2021,Done,23/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
70,Search bar fetature in overview not working,Android-app,Done,3,24/04/2021,22/04/2021,Done,22/05/21 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
71,UI is broken in android app,Android-app,In Progress,3,24/04/2021,,,20/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
72,like option not working,Android-app,To Do,3,24/04/2021,,,20/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
73,3D view not working,IOS-app,To Do,3,24/04/2021,,,23/04/21 17:02,UI,This is the description of my issues. Instructions to use this csv will come here.
74,issue in design format,Android-app,To Do,3,24/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
75,email notification not working,Android-app,Done,3,24/04/2021,23/04/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
76,Wrong dates being displayed,IOS-app,To Do,3,25/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
77,Dropdown not consistent in all the pages,IOS-app,To Do,3,25/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
78,hint text not working,IOS-app,To Do,3,25/04/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
79,Another bug in the code,IOS-app,In Progress,3,25/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
80,console error on page reload,IOS-app,To Do,3,25/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
81,Creating useris showing the error message ,Android-app,Done,1,25/04/2021,25/04/2021,Done,########,UI,This is the description of my issues. Instructions to use this csv will come here.
82,"Created new user and on click view and click on edit option,
 the screen loads continuously.",Android-app,Done,2,26/04/2021,22/04/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
83,Back button is redirected to the view screen.,Android-app,To Do,2,26/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
84,"For the same email used again,can be updated successfully.",IOS-app,To Do,2,26/04/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
85,Delete user is showing the error alert message.,Android-app,To Do,1,26/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
86,"In Roles, User Access screen loads continuously.",Android-app,To Do,1,27/04/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
87," if their is no Approver user, it is not showing any messages ",IOS-app,In Progress,1,27/04/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
88,"The toaster message for Insert, update and delete should show error message",Android-app,To Do,1,27/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
89,Duplicate Code can be inserted in the user list.,Android-app,To Do,2,27/04/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
90,The description column is not shown in the userlist.,Android-app,Done,3,27/04/2021,22/04/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
91,loader is not shown in edit user,IOS-app,Done,1,27/04/2021,26/04/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
92,The user dropdown record is getting duplicated.,Android-app,In Progress,1,27/04/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
93,The headers must be consistent for all the pages,Android-app,To Do,2,28/04/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
94,"In audit screen, the back button and close buttons are not aligned properly.",IOS-app,To Do,2,28/04/2021,,,13-04-2022 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
95,Updated Latest Need By date is resetting to blank,IOS-app,To Do,1,28/04/2021,,,23-04-2022 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
96,The Updated Date should be shown in the Audit Report.,IOS-app,Done,1,28/04/2021,22/04/2021,Done,20-04-2022 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
97,"When user login in to an application the continue button is allowed to select 
without selecting any of the project.",IOS-app,To Do,1,30/04/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
98,"User can be created and updated by using same email id, no validation is shown.",Android-app,Done,3,30/04/2021,22/04/2021,Done,5/12/2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
99,"User is able to add the same Role and Project as many times in the
 user information screen.",Android-app,Done,3,30/04/2021,22/04/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
100,The hand cursor is not shown on delete option in the Add Role table,Android-app,Done,3,30/04/2021,22/04/2021,Done,5/12/2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
101,"Add to list is enabled, without selecting any Role and Project In the user Information.",Android-app,Done,3,30/04/2021,22/04/2021,Done,20-05-2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
102,The newly created User names are not shown in the user list.,IOS-app,Done,3,30/04/2021,22/04/2021,Done,23-05-2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
103, user is not able to see any details in the overview,Android-app,Done,3,30/04/2021,22/04/2021,Done,22-05-2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
104,"On click Go Back Button, the user is not able to login to the application.",Android-app,In Progress,1,30/04/2021,,,20-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
105,"Added user Information, On refresh, not able to add to list the selected role and Project.",IOS-app,To Do,2,30/04/2021,,,13-04-2022 15:40,backend,This is the description of my issues. Instructions to use this csv will come here.
106,cancel button is triggering an error message,Android-app,Done,1,30/04/2021,22/04/2021,Done,13-04-2022 15:40,UI,This is the description of my issues. Instructions to use this csv will come here.
107,Download document trigggering an error,Android-app,Done,1,1/5/2021,22/04/2021,Done,13-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
108,Document is not being printed successfully,IOS-app,To Do,2,1/5/2021,,,13-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
109,"Not able to add the user, it shows user already exists.",IOS-app,To Do,3,1/5/2021,,,13-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
110,Create & edit revision is not working.,IOS-app,To Do,3,2/5/2021,,,13-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
111,No users are shown in the users list.,Android-app,To Do,1,3/5/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
112,dashboard not found,IOS-app,To Do,2,3/5/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
113,User Information screen stops loading and loads after 10 seconds,Android-app,To Do,1,3/5/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
114,"Login as issuer, side menu not visible",IOS-app,To Do,1,3/5/2021,,,5/11/2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
115,User record cannot be deleted,Android-app,To Do,3,5/5/2021,,,5/12/2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
116,the selected Order Numbers are not aligned properly inside the field.,Android-app,In Progress,3,5/5/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
117,revision screen loads contionously,IOS-app,To Do,2,5/5/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
118,Reset is not working for the selected order numbers in the advance filter.,Android-app,Done,1,5/5/2021,5/5/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
119,"In advance filter search,For the selected  order numbers the search result
 is showing incorrect result",IOS-app,To Do,3,5/5/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
120,Save button not working,IOS-app,To Do,2,5/5/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
121,Text mandatory message not shown,IOS-app,To Do,1,5/5/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
122,"On click save, the shows blank red toaster messge.",IOS-app,,,5/5/2021,,,,UI,
123,"On removing  order number, the save red alert is not shown.",IOS-app,,,5/5/2021,,,,UI,
124,Not able to create the recod.It shows an error alert message.,IOS-app,,,6/5/2021,,,,UI,
125,recdirection from user list not correct,Android-app,,,6/5/2021,,,,UI,
126,This is a sub task,Android-app,To Do,1,6/5/2021,,,13-04-2022 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
127,Launch Android app,Android-app,Done,3,6/5/2021,5/5/2021,Done,5/12/2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
128,Launch iOS app,Android-app,Done,3,6/6/2021,5/5/2021,Done,15-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
129,As a user this is my story,Android-app,Done,3,6/6/2021,5/5/2021,Done,5/12/2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
130,A new task,Android-app,Done,3,6/7/2021,5/5/2021,Done,22-05-2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
131,A bug,Android-app,In Progress,1,6/7/2021,,,20-05-2022 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
132,This is a sub task,IOS-app,To Do,2,6/7/2021,,,13-04-2022 15:40,backend,This is the description of my issues. Instructions to use this csv will come here.
133,Design task,Android-app,To Do,1,6/8/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
134,Great task,Android-app,To Do,1,6/8/2021,,,5/11/2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
135,A new task,Android-app,Done,3,6/8/2021,6/5/2021,Done,22-05-2022 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
136,Dispaly chart,Android-app,To Do,2,6/8/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
137,Dispaly chart all ,Android-app,To Do,2,7/4/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
138,Sub task first,Android-app,To Do,2,7/4/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
139,Sub task second,IOS-app,Done,2,7/4/2021,7/4/2021,Done,,UI,This is the description of my issues. Instructions to use this csv will come here.
140,Sub task third,IOS-app,In Progress,2,7/5/2021,,,,backend,This is the description of my issues. Instructions to use this csv will come here.
141,Add button ,Android-app,To Do,2,7/6/2021,,,,,
142,On click add show the add details,Android-app,To Do,2,7/6/2021,,,,,
143,check for mandatory,Android-app,To Do,2,8/6/2021,,,,,
144,click on save,Android-app,To Do,2,8/6/2021,,,,,
145,edit user,Android-app,To Do,2,8/7/2021,,,,,
146,Observe the editted user,Android-app,To Do,2,8/7/2021,,,,,
147,update user,Android-app,To Do,2,8/7/2021,,,,,
148,delete user,Android-app,To Do,2,8/7/2021,,,,,
149,add duplicates ,Android-app,To Do,2,8/7/2021,,,,,
150,add bulk data,Android-app,To Do,2,8/7/2021,,,,,
151,Unable to login,Android-app,To Do,3,10/7/2021,,,7/6/2021 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
152,Business objects not working,Android-app,Done,3,11/7/2021,11/7/2021,Done,7/6/2021 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
153,This is a sub task,IOS-app,To Do,3,12/7/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
154,This is a sub task,Android-app,In Progress,3,13/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
155,This is a sub task,Android-app,To Do,3,14/07/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
156, Logger information class,Android-app,Done,2,15/07/2021,11/7/2021,Done,7/6/2021 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
157,This is a sub task,IOS-app,To Do,2,16/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
158,This is a sub task,Android-app,In Progress,2,17/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
159,This is a sub task,Android-app,To Do,2,18/07/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
160,Bugs are annoying,IOS-app,In Progress,1,20/07/2021,,,########,UI,This is the description of my issues. Instructions to use this csv will come here.
161,Great task,Android-app,To Do,1,20/07/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
162,So sealed class tasks,Android-app,To Do,2,20/07/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
163,Bug are endless,Android-app,Done,3,20/07/2021,20/07/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
164,Loading dashboard RatePerSlot Issue ,IOS-app,To Do,2,21/07/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
165,Sub task first calculation,Android-app,Done,1,21/07/2021,21/07/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
166,Sub task second calculation,IOS-app,To Do,3,21/07/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
168,Sub task third calculation,IOS-app,To Do,2,21/07/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
169,Sub task fourth  calculation,IOS-app,To Do,1,21/07/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
170,Bugs are annoying,IOS-app,In Progress,1,22/07/2021,,,16/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
171,Great task,Android-app,To Do,2,22/07/2021,,,11/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
172,So many tasks,Android-app,To Do,2,22/07/2021,,,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
173,Launch Android app,Android-app,Done,2,22/07/2021,22/07/2021,Done,12/5/2021 16:57,backend,This is the description of my issues. Instructions to use this csv will come here.
174,Freequency,IOS-app,In Progress,1,22/07/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
175,Registration_Date Issue,IOS-app,In Progress,1,23/07/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
176,WM_Asset_Update_Test stored procedure,Android-app,To Do,3,24/07/2021,,,7/6/2021 17:02,backend,This is the description of my issues. Instructions to use this csv will come here.
177,Stored procedure input parameters,Android-app,Done,3,24/07/2021,24/07/2021,Done,7/6/2021 15:25,UI,This is the description of my issues. Instructions to use this csv will come here.
178,Connection to stored procedure,IOS-app,To Do,3,24/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
179,Time out for connection,Android-app,In Progress,3,25/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
180,Jion Table in stored procedure,Android-app,To Do,3,25/07/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
181,Enter Mobile OTP,Android-app,In Progress,3,25/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
182,PostBackTrigger,Android-app,To Do,3,25/07/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
183,City Dropdown,IOS-app,To Do,1,26/07/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
184,State DropDown ,IOS-app,,,26/07/2021,,,,,
185,Country DropDown,IOS-app,,,26/07/2021,,,,,
186,UserControls,IOS-app,In Progress,1,27/07/2021,,,########,UI,
187,WM_Ast_NetworkBillBoard_Edit,Android-app,To Do,1,27/07/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
188,AppSettings for connection,Android-app,To Do,2,27/07/2021,,,########,backend,This is the description of my issues. Instructions to use this csv will come here.
189,HyperLink working checked,Android-app,Done,3,27/07/2021,27/07/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
190,MultiView display page,IOS-app,To Do,2,27/07/2021,,,14-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
191,WM_Welcome For mao,Android-app,Done,1,28/07/2021,28/07/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
192,AUTHENTICATE For Login,IOS-app,To Do,3,28/07/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
193,ValidationGroup for Textboxs,IOS-app,To Do,2,28/07/2021,,,15-04-2022 15:39,UI,This is the description of my issues. Instructions to use this csv will come here.
194,GetData Values for Users,IOS-app,To Do,1,28/07/2021,,,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
195,Session UserNameDisplay,IOS-app,In Progress,1,28/07/2021,,,16/05/21 16:57,UI,This is the description of my issues. Instructions to use this csv will come here.
196,WM_Login Design change,IOS-app,In Progress,1,28/07/2021,,,,UI,This is the description of my issues. Instructions to use this csv will come here.
197,This is a sub task,IOS-app,To Do,2,28/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
198,This is a sub task,Android-app,In Progress,2,28/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
199,This is a sub task,Android-app,To Do,2,28/07/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
200,Bug are endless,Android-app,Done,3,28/07/2021,28/07/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
201,Product Use Case Definition,IOS-app,To Do,2,29/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
202,Business Requirements,Android-app,In Progress,2,29/07/2021,,,7/6/2021 15:46,backend,This is the description of my issues. Instructions to use this csv will come here.
203,Launch Schedule,Android-app,To Do,2,29/07/2021,,,7/6/2021 15:46,UI,This is the description of my issues. Instructions to use this csv will come here.
204,Launch Event Plan,Android-app,Done,3,29/07/2021,29/07/2021,Done,########,backend,This is the description of my issues. Instructions to use this csv will come here.
205,Product Strategy,Android-app,Done,1,1/8/2021,1/8/2021,Done,15-04-2022 15:39,backend,This is the description of my issues. Instructions to use this csv will come here.
